policy_id,scenario,sample_count,dense_prefill_nll,dense_decode_nll,prefill_nll,decode_nll,delta_prefill_nll,delta_decode_nll,target_delta_nll,prefill_tokens,decode_tokens
p47,prefill_only,100,2.0165355252637243,1.9183566811644002,2.1817886825136634,1.9183566811644002,0.16525315724993916,0.0,0.16525315724993916,204700,8100
p48,prefill_only,100,2.0165355252637243,1.9183566811644002,2.178651724751542,1.9183566811644002,0.16211619948781752,0.0,0.16211619948781752,204700,8100
p49,prefill_only,100,2.0165355252637243,1.9183566811644002,2.221117913600696,1.9183566811644002,0.20458238833697173,0.0,0.20458238833697173,204700,8100
p50,prefill_only,100,2.0165355252637243,1.9183566811644002,2.2111017218414144,1.9183566811644002,0.19456619657769014,0.0,0.19456619657769014,204700,8100
p51,prefill_only,100,2.0165355252637243,1.9183566811644002,2.200615332174371,1.9183566811644002,0.18407980691064685,0.0,0.18407980691064685,204700,8100
p52,prefill_only,100,2.0165355252637243,1.9183566811644002,2.1817886825136634,1.9183566811644002,0.16525315724993916,0.0,0.16525315724993916,204700,8100
p53,prefill_only,100,2.0165355252637243,1.9183566811644002,2.178651724751542,1.9183566811644002,0.16211619948781752,0.0,0.16211619948781752,204700,8100
p54,prefill_only,100,2.0165355252637243,1.9183566811644002,2.221117913600696,1.9183566811644002,0.20458238833697173,0.0,0.20458238833697173,204700,8100
p55,prefill_only,100,2.0165355252637243,1.9183566811644002,2.2111017218414144,1.9183566811644002,0.19456619657769014,0.0,0.19456619657769014,204700,8100
p56,prefill_only,100,2.0165355252637243,1.9183566811644002,2.200615332174371,1.9183566811644002,0.18407980691064685,0.0,0.18407980691064685,204700,8100
p57,prefill_only,100,2.0165355252637243,1.9183566811644002,2.1817886825136634,1.9183566811644002,0.16525315724993916,0.0,0.16525315724993916,204700,8100
p58,prefill_only,100,2.0165355252637243,1.9183566811644002,2.178651724751542,1.9183566811644002,0.16211619948781752,0.0,0.16211619948781752,204700,8100
p59,prefill_only,100,2.0165355252637243,1.9183566811644002,2.221117913600696,1.9183566811644002,0.20458238833697173,0.0,0.20458238833697173,204700,8100
p60,prefill_only,100,2.0165355252637243,1.9183566811644002,2.2111017218414144,1.9183566811644002,0.19456619657769014,0.0,0.19456619657769014,204700,8100
p61,prefill_only,100,2.0165355252637243,1.9183566811644002,2.200615332174371,1.9183566811644002,0.18407980691064685,0.0,0.18407980691064685,204700,8100
p62,prefill_only,100,2.0165355252637243,1.9183566811644002,2.1817886825136634,1.9183566811644002,0.16525315724993916,0.0,0.16525315724993916,204700,8100
p63,prefill_only,100,2.0165355252637243,1.9183566811644002,2.178651724751542,1.9183566811644002,0.16211619948781752,0.0,0.16211619948781752,204700,8100
p64,prefill_only,100,2.0165355252637243,1.9183566811644002,2.221117913600696,1.9183566811644002,0.20458238833697173,0.0,0.20458238833697173,204700,8100
p65,prefill_only,100,2.0165355252637243,1.9183566811644002,2.2111017218414144,1.9183566811644002,0.19456619657769014,0.0,0.19456619657769014,204700,8100
p66,prefill_only,100,2.0165355252637243,1.9183566811644002,2.200615332174371,1.9183566811644002,0.18407980691064685,0.0,0.18407980691064685,204700,8100
p67,prefill_only,100,2.0165355252637243,1.9183566811644002,2.1817886825136634,1.9183566811644002,0.16525315724993916,0.0,0.16525315724993916,204700,8100
p68,prefill_only,100,2.0165355252637243,1.9183566811644002,2.178651724751542,1.9183566811644002,0.16211619948781752,0.0,0.16211619948781752,204700,8100
p69,prefill_only,100,2.0165355252637243,1.9183566811644002,2.221117913600696,1.9183566811644002,0.20458238833697173,0.0,0.20458238833697173,204700,8100
p70,prefill_only,100,2.0165355252637243,1.9183566811644002,2.2111017218414144,1.9183566811644002,0.19456619657769014,0.0,0.19456619657769014,204700,8100
p71,prefill_only,100,2.0165355252637243,1.9183566811644002,2.200615332174371,1.9183566811644002,0.18407980691064685,0.0,0.18407980691064685,204700,8100
