module_index,module_name,layer,module_type,prefill_method,decode_method,prefill_runtime,decode_runtime,quality_cost,latency_ms
0,model.layers.0.self_attn.qkv_proj,0,qkv_proj,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,0.0009149826341309863,2.550706
1,model.layers.0.self_attn.o_proj,0,o_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.0001872711995839141,1.001202
2,model.layers.0.mlp.gate_up_proj,0,gate_up_proj,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,0.004622030258253238,3.295666
3,model.layers.0.mlp.down_proj,0,down_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.0012785298594033504,2.475076
4,model.layers.1.self_attn.qkv_proj,1,qkv_proj,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,0.0017259533797269366,2.550706
5,model.layers.1.self_attn.o_proj,1,o_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.002449665174309192,1.001202
6,model.layers.1.mlp.gate_up_proj,1,gate_up_proj,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,0.006579826209548279,3.295666
7,model.layers.1.mlp.down_proj,1,down_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,3.695712827809625e-06,2.475076
8,model.layers.2.self_attn.qkv_proj,2,qkv_proj,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,0.0034023651262645384,2.550706
9,model.layers.2.self_attn.o_proj,2,o_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.004862077934302778,1.001202
10,model.layers.2.mlp.gate_up_proj,2,gate_up_proj,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,0.010170516208291331,3.295666
11,model.layers.2.mlp.down_proj,2,down_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.00864551368985329,2.475076
12,model.layers.3.self_attn.qkv_proj,3,qkv_proj,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,0.005161993831837578,2.550706
