pair_id,selected_modules,raw_rel_gap,empirical_score_delta,low_composition,high_composition
sparse_nvfp4_empirical_c064_pair00,64,9.827556267080306e-05,0.21597808345949718,"early:11,middle:37,late:16;down_proj:7,gate_proj:6,k_proj:13,o_proj:3,q_proj:12,up_proj:8,v_proj:15","early:19,middle:35,late:10;down_proj:14,gate_proj:15,k_proj:8,o_proj:5,q_proj:9,up_proj:7,v_proj:6"
sparse_nvfp4_empirical_c064_pair01,64,0.001216864311936231,0.21338199387127166,"early:11,middle:32,late:21;down_proj:4,gate_proj:8,k_proj:9,o_proj:12,q_proj:12,up_proj:12,v_proj:7","early:29,middle:22,late:13;down_proj:13,gate_proj:10,k_proj:11,o_proj:6,q_proj:7,up_proj:8,v_proj:9"
sparse_nvfp4_empirical_c064_pair02,64,0.0013194920631663086,0.21335682172803183,"early:11,middle:36,late:17;down_proj:8,gate_proj:6,k_proj:10,o_proj:13,q_proj:10,up_proj:5,v_proj:12","early:19,middle:39,late:6;down_proj:10,gate_proj:16,k_proj:5,o_proj:10,q_proj:5,up_proj:12,v_proj:6"
sparse_nvfp4_empirical_c064_pair03,64,0.0008089087990282909,0.2127918809558082,"early:11,middle:36,late:17;down_proj:5,gate_proj:3,k_proj:13,o_proj:8,q_proj:12,up_proj:7,v_proj:16","early:23,middle:31,late:10;down_proj:8,gate_proj:13,k_proj:11,o_proj:8,q_proj:9,up_proj:7,v_proj:8"
sparse_nvfp4_empirical_c064_pair04,64,0.000512218120440994,0.2118317188439579,"early:8,middle:36,late:20;down_proj:6,gate_proj:6,k_proj:14,o_proj:13,q_proj:9,up_proj:8,v_proj:8","early:21,middle:29,late:14;down_proj:13,gate_proj:14,k_proj:9,o_proj:6,q_proj:7,up_proj:9,v_proj:6"
sparse_nvfp4_empirical_c064_pair05,64,0.001506518994291233,0.20966309205142633,"early:13,middle:26,late:25;down_proj:6,gate_proj:6,k_proj:11,o_proj:11,q_proj:9,up_proj:9,v_proj:12","early:24,middle:30,late:10;down_proj:13,gate_proj:10,k_proj:6,o_proj:8,q_proj:7,up_proj:10,v_proj:10"
sparse_nvfp4_empirical_c064_pair06,64,0.0008025223811784502,0.20833059370889842,"early:11,middle:36,late:17;down_proj:4,gate_proj:7,k_proj:10,o_proj:17,q_proj:7,up_proj:8,v_proj:11","early:16,middle:35,late:13;down_proj:12,gate_proj:17,k_proj:7,o_proj:11,q_proj:4,up_proj:5,v_proj:8"
sparse_nvfp4_empirical_c064_pair07,64,0.0012168595447015532,0.20674746345640083,"early:12,middle:34,late:18;down_proj:5,gate_proj:7,k_proj:10,o_proj:13,q_proj:11,up_proj:10,v_proj:8","early:23,middle:32,late:9;down_proj:12,gate_proj:13,k_proj:7,o_proj:7,q_proj:9,up_proj:8,v_proj:8"
sparse_nvfp4_empirical_c064_pair08,64,5.2216739149799435e-05,0.2053372060030045,"early:11,middle:28,late:25;down_proj:5,gate_proj:8,k_proj:11,o_proj:11,q_proj:9,up_proj:8,v_proj:12","early:27,middle:21,late:16;down_proj:15,gate_proj:13,k_proj:6,o_proj:9,q_proj:7,up_proj:7,v_proj:7"
sparse_nvfp4_empirical_c064_pair09,64,0.0002381707908782264,0.20386561635707737,"early:11,middle:34,late:19;down_proj:8,gate_proj:8,k_proj:10,o_proj:16,q_proj:8,up_proj:5,v_proj:9","early:20,middle:34,late:10;down_proj:14,gate_proj:10,k_proj:4,o_proj:11,q_proj:9,up_proj:10,v_proj:6"
sparse_nvfp4_empirical_c064_pair10,64,0.0014945451981381703,0.20471098046317202,"early:12,middle:31,late:21;down_proj:3,gate_proj:8,k_proj:10,o_proj:13,q_proj:8,up_proj:13,v_proj:9","early:24,middle:26,late:14;down_proj:12,gate_proj:11,k_proj:8,o_proj:9,q_proj:7,up_proj:9,v_proj:8"
sparse_nvfp4_empirical_c064_pair11,64,0.00124173068069733,0.2019142688576307,"early:11,middle:36,late:17;down_proj:5,gate_proj:3,k_proj:15,o_proj:7,q_proj:11,up_proj:10,v_proj:13","early:22,middle:32,late:10;down_proj:14,gate_proj:7,k_proj:7,o_proj:10,q_proj:8,up_proj:9,v_proj:9"
