name,module_name,module_index,layer,module_type,module_family,n,k,selected_method,backend,quality_cost,latency_cost
model.language_model.layers.0.self_attn.q_proj,model.language_model.layers.0.self_attn.q_proj,1,0,q_proj,attention,4096,4096,dense_bf16,dense_bf16,0.0,2.441358
model.language_model.layers.0.self_attn.k_proj,model.language_model.layers.0.self_attn.k_proj,2,0,k_proj,attention,4096,4096,sparse_bf16,sparse_bf16,5.969859885196761e-08,1.257995
model.language_model.layers.0.self_attn.v_proj,model.language_model.layers.0.self_attn.v_proj,3,0,v_proj,attention,4096,4096,sparse_bf16,sparse_bf16,3.946093470232992e-06,1.257995
model.language_model.layers.0.self_attn.o_proj,model.language_model.layers.0.self_attn.o_proj,4,0,o_proj,attention,4096,4096,sparse_nvfp4,sparse_nvfp4,0.0007033602534061866,1.8060494999999999
model.language_model.layers.0.mlp.gate_proj,model.language_model.layers.0.mlp.gate_proj,5,0,gate_proj,mlp,11008,4096,sparse_nvfp4,sparse_nvfp4,0.001245156252446616,2.5708457841501398
model.language_model.layers.0.mlp.up_proj,model.language_model.layers.0.mlp.up_proj,6,0,up_proj,mlp,11008,4096,dense_bf16,dense_bf16,0.0,6.993269319161178
model.language_model.layers.0.mlp.down_proj,model.language_model.layers.0.mlp.down_proj,7,0,down_proj,mlp,4096,11008,dense_nvfp4,dense_nvfp4,6.379320621950701e-05,4.934856405513043
model.language_model.layers.1.self_attn.q_proj,model.language_model.layers.1.self_attn.q_proj,8,1,q_proj,attention,4096,4096,sparse_nvfp4,sparse_nvfp4,0.0004934180316457485,1.8060494999999999
model.language_model.layers.1.self_attn.k_proj,model.language_model.layers.1.self_attn.k_proj,9,1,k_proj,attention,4096,4096,sparse_nvfp4,sparse_nvfp4,0.0004563448903535751,1.8060494999999999
model.language_model.layers.1.self_attn.v_proj,model.language_model.layers.1.self_attn.v_proj,10,1,v_proj,attention,4096,4096,sparse_nvfp4,sparse_nvfp4,0.011718401020446575,1.8060494999999999
model.language_model.layers.1.self_attn.o_proj,model.language_model.layers.1.self_attn.o_proj,11,1,o_proj,attention,4096,4096,dense_nvfp4,dense_nvfp4,6.63013044204814e-05,1.969835
model.language_model.layers.1.mlp.gate_proj,model.language_model.layers.1.mlp.gate_proj,12,1,gate_proj,mlp,11008,4096,sparse_nvfp4,sparse_nvfp4,0.001874276956229118,2.5708457841501398
model.language_model.layers.1.mlp.up_proj,model.language_model.layers.1.mlp.up_proj,13,1,up_proj,mlp,11008,4096,dense_nvfp4,dense_nvfp4,9.188017273518002e-05,3.0619853161530486
model.language_model.layers.1.mlp.down_proj,model.language_model.layers.1.mlp.down_proj,14,1,down_proj,mlp,4096,11008,sparse_nvfp4,sparse_nvfp4,4.6074476830705745e-05,4.5866232192169125
model.language_model.layers.2.self_attn.q_proj,model.language_model.layers.2.self_attn.q_proj,15,2,q_proj,attention,4096,4096,dense_bf16,dense_bf16,0.0,2.441358
model.language_model.layers.2.self_attn.k_proj,model.language_model.layers.2.self_attn.k_proj,16,2,k_proj,attention,4096,4096,dense_bf16,dense_bf16,0.0,2.441358
model.language_model.layers.2.self_attn.v_proj,model.language_model.layers.2.self_attn.v_proj,17,2,v_proj,attention,4096,4096,dense_bf16,dense_bf16,0.0,2.441358
model.language_model.layers.2.self_attn.o_proj,model.language_model.layers.2.self_attn.o_proj,18,2,o_proj,attention,4096,4096,dense_bf16,dense_bf16,0.0,2.441358
model.language_model.layers.2.mlp.gate_proj,model.language_model.layers.2.mlp.gate_proj,19,2,gate_proj,mlp,11008,4096,dense_nvfp4,dense_nvfp4,0.00011362923953608862,3.0619853161530486
model.language_model.layers.2.mlp.up_proj,model.language_model.layers.2.mlp.up_proj,20,2,up_proj,mlp,11008,4096,sparse_bf16,sparse_bf16,0.0003736866380345034,3.3904291110950173
model.language_model.layers.2.mlp.down_proj,model.language_model.layers.2.mlp.down_proj,21,2,down_proj,mlp,4096,11008,sparse_nvfp4,sparse_nvfp4,0.0008892686731908388,4.5866232192169125
model.language_model.layers.3.self_attn.q_proj,model.language_model.layers.3.self_attn.q_proj,22,3,q_proj,attention,4096,4096,sparse_nvfp4,sparse_nvfp4,0.0008363556657133496,1.8060494999999999
model.language_model.layers.3.self_attn.k_proj,model.language_model.layers.3.self_attn.k_proj,23,3,k_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.00011344929685819644,1.257995
model.language_model.layers.3.self_attn.v_proj,model.language_model.layers.3.self_attn.v_proj,24,3,v_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.00037257218693907316,1.257995
model.language_model.layers.3.self_attn.o_proj,model.language_model.layers.3.self_attn.o_proj,25,3,o_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.0002237382650793861,1.257995
model.language_model.layers.3.mlp.gate_proj,model.language_model.layers.3.mlp.gate_proj,26,3,gate_proj,mlp,11008,4096,sparse_nvfp4,sparse_nvfp4,0.0016765934482221175,2.5708457841501398
model.language_model.layers.3.mlp.up_proj,model.language_model.layers.3.mlp.up_proj,27,3,up_proj,mlp,11008,4096,dense_bf16,dense_bf16,0.0,6.993269319161178
model.language_model.layers.3.mlp.down_proj,model.language_model.layers.3.mlp.down_proj,28,3,down_proj,mlp,4096,11008,dense_bf16,dense_bf16,0.0,7.019237382643977
model.language_model.layers.4.self_attn.q_proj,model.language_model.layers.4.self_attn.q_proj,29,4,q_proj,attention,4096,4096,dense_nvfp4,dense_nvfp4,2.7321431951613687e-05,1.969835
model.language_model.layers.4.self_attn.k_proj,model.language_model.layers.4.self_attn.k_proj,30,4,k_proj,attention,4096,4096,sparse_nvfp4,sparse_nvfp4,0.0007342556827387516,1.8060494999999999
model.language_model.layers.4.self_attn.v_proj,model.language_model.layers.4.self_attn.v_proj,31,4,v_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.00039746830937427083,1.257995
model.language_model.layers.4.self_attn.o_proj,model.language_model.layers.4.self_attn.o_proj,32,4,o_proj,attention,4096,4096,sparse_nvfp4,sparse_nvfp4,0.0032014382095856488,1.8060494999999999
model.language_model.layers.4.mlp.gate_proj,model.language_model.layers.4.mlp.gate_proj,33,4,gate_proj,mlp,11008,4096,dense_bf16,dense_bf16,0.0,6.993269319161178
model.language_model.layers.4.mlp.up_proj,model.language_model.layers.4.mlp.up_proj,34,4,up_proj,mlp,11008,4096,sparse_nvfp4,sparse_nvfp4,0.0039071614146932295,2.5708457841501398
